,from,to,store,digital,preorder,Start Date,End Date,Task ID,Task Name,Resource
0,2021-03-17 16:13:00,2021-03-17 16:45:00,Playstation Direct ,False,False,1615997580000,1615999500000,0,Playstation Direct 2021-03-17T16:13:00 to 2021-03-17T16:45:00,Playstation Direct 
1,2021-03-17 16:13:00,2021-03-17 16:37:00,Playstation Direct ,True,False,1615997580000,1615999020000,1,Playstation Direct Digital Edition 2021-03-17T16:13:00 to 2021-03-17T16:37:00,Playstation Direct 
2,2021-03-16 17:41:00,2021-03-16 18:15:00,Playstation Direct ,True,False,1615916460000,1615918500000,2,Playstation Direct Digital Edition 2021-03-16T17:41:00 to 2021-03-16T18:15:00,Playstation Direct 
3,2021-03-16 17:41:00,2021-03-16 18:05:00,Playstation Direct ,False,False,1615916460000,1615917900000,3,Playstation Direct 2021-03-16T17:41:00 to 2021-03-16T18:05:00,Playstation Direct 
4,2021-03-12 16:19:00,2021-03-12 16:31:00,Best Buy ,True,False,1615565940000,1615566660000,4,Best Buy Digital Edition 2021-03-12T16:19:00 to 2021-03-12T16:31:00,Best Buy 
5,2021-03-12 15:34:00,2021-03-12 16:31:00,Best Buy ,False,False,1615563240000,1615566660000,5,Best Buy 2021-03-12T15:34:00 to 2021-03-12T16:31:00,Best Buy 
6,2021-03-12 15:51:00,2021-03-12 16:12:00,Best Buy ,True,False,1615564260000,1615565520000,6,Best Buy Digital Edition 2021-03-12T15:51:00 to 2021-03-12T16:12:00,Best Buy 
7,2021-03-12 15:40:00,2021-03-12 15:49:00,Best Buy ,True,False,1615563600000,1615564140000,7,Best Buy Digital Edition 2021-03-12T15:40:00 to 2021-03-12T15:49:00,Best Buy 
8,2021-03-11 15:41:00,2021-03-11 16:15:00,Playstation Direct ,False,False,1615477260000,1615479300000,8,Playstation Direct 2021-03-11T15:41:00 to 2021-03-11T16:15:00,Playstation Direct 
9,2021-03-11 14:25:00,2021-03-11 14:55:00,Target ,True,False,1615472700000,1615474500000,9,Target Digital Edition 2021-03-11T14:25:00 to 2021-03-11T14:55:00,Target 
10,2021-03-11 08:35:00,2021-03-11 08:49:00,Target ,True,False,1615451700000,1615452540000,10,Target Digital Edition 2021-03-11T08:35:00 to 2021-03-11T08:49:00,Target 
11,2021-03-11 08:32:00,2021-03-11 08:34:00,Target ,True,False,1615451520000,1615451640000,11,Target Digital Edition 2021-03-11T08:32:00 to 2021-03-11T08:34:00,Target 
12,2021-03-11 08:26:00,2021-03-11 08:33:00,Target ,False,False,1615451160000,1615451580000,12,Target 2021-03-11T08:26:00 to 2021-03-11T08:33:00,Target 
13,2021-03-11 07:45:00,2021-03-11 08:17:00,Target ,False,False,1615448700000,1615450620000,13,Target 2021-03-11T07:45:00 to 2021-03-11T08:17:00,Target 
14,2021-03-10 16:47:00,2021-03-10 16:59:00,Playstation Direct ,False,False,1615394820000,1615395540000,14,Playstation Direct 2021-03-10T16:47:00 to 2021-03-10T16:59:00,Playstation Direct 
15,2021-03-10 16:27:00,2021-03-10 16:45:00,Playstation Direct ,False,False,1615393620000,1615394700000,15,Playstation Direct 2021-03-10T16:27:00 to 2021-03-10T16:45:00,Playstation Direct 
16,2021-03-09 14:13:00,2021-03-09 14:26:00,GameStop ,False,True,1615299180000,1615299960000,16,GameStop Preorder 2021-03-09T14:13:00 to 2021-03-09T14:26:00,GameStop 
17,2021-03-09 08:49:00,2021-03-09 09:03:00,Target ,False,False,1615279740000,1615280580000,17,Target 2021-03-09T08:49:00 to 2021-03-09T09:03:00,Target 
18,2021-03-09 08:50:00,2021-03-09 09:01:00,Target ,True,False,1615279800000,1615280460000,18,Target Digital Edition 2021-03-09T08:50:00 to 2021-03-09T09:01:00,Target 
19,2021-03-05 14:23:00,2021-03-05 14:46:00,Best Buy ,False,False,1614954180000,1614955560000,19,Best Buy 2021-03-05T14:23:00 to 2021-03-05T14:46:00,Best Buy 
20,2021-03-05 13:57:00,2021-03-05 14:00:00,Best Buy ,False,False,1614952620000,1614952800000,20,Best Buy 2021-03-05T13:57:00 to 2021-03-05T14:00:00,Best Buy 
21,2021-03-05 11:51:00,2021-03-05 12:19:00,Best Buy ,True,False,1614945060000,1614946740000,21,Best Buy Digital Edition 2021-03-05T11:51:00 to 2021-03-05T12:19:00,Best Buy 
22,2021-03-05 11:50:00,2021-03-05 11:56:00,Best Buy ,False,False,1614945000000,1614945360000,22,Best Buy 2021-03-05T11:50:00 to 2021-03-05T11:56:00,Best Buy 
23,2021-03-04 16:22:00,2021-03-04 16:38:00,Walmart ,False,True,1614874920000,1614875880000,23,Walmart Preorder 2021-03-04T16:22:00 to 2021-03-04T16:38:00,Walmart 
24,2021-03-04 15:11:00,2021-03-04 15:18:00,Walmart ,False,True,1614870660000,1614871080000,24,Walmart Preorder 2021-03-04T15:11:00 to 2021-03-04T15:18:00,Walmart 
25,2021-03-03 10:24:00,2021-03-03 10:36:00,Amazon ,False,False,1614767040000,1614767760000,25,Amazon 2021-03-03T10:24:00 to 2021-03-03T10:36:00,Amazon 
26,2021-03-03 10:05:00,2021-03-03 10:16:00,Amazon ,True,False,1614765900000,1614766560000,26,Amazon Digital Edition 2021-03-03T10:05:00 to 2021-03-03T10:16:00,Amazon 
27,2021-02-26 12:15:00,2021-02-26 12:51:00,Best Buy ,False,False,1614341700000,1614343860000,27,Best Buy 2021-02-26T12:15:00 to 2021-02-26T12:51:00,Best Buy 
28,2021-02-26 12:32:00,2021-02-26 12:45:00,Best Buy ,True,False,1614342720000,1614343500000,28,Best Buy Digital Edition 2021-02-26T12:32:00 to 2021-02-26T12:45:00,Best Buy 
